Mass,Relative%,Description
342.123151,0.01%,"adduct of glutathione with OH radical(add NH4+), with the error of 0.0012. "
113.047813,0.36%,"adduct of glycine with CH3 radical(add Na+), with the error of 0.0018. "
123.068648,0.08%,"adduct of glycine with NO radical(add NH4+), with the error of 0.0036. decarboxylation coupling (R-R') product of 3-hydroxypropionic acid and malonic acid(add H3O+), with the error of 0.0014.alpha-ketobutyric acid reductive hydrogenation product(add H3O+), with the error of 0.0024."
105.033712,0.02%,"adduct of glycine with NO radical(self), with the error of 0.0037. "
110.071562,1.04%,"adduct of glycine with OH radical(add NH4+), with the error of 0.0016. adduct of urea with CH3O radical(add H3O+), with the error of 0.0024."
395.081677,0.03%,"adduct of gmp with CH3O radical(add H+), with the error of 0.0033. "
417.062386,0.01%,"adduct of gmp with CH3O radical(add Na+), with the error of 0.0046. "
417.04599,0.01%,"adduct of gmp with Cl radical(add H3O+), with the error of 0.004. "
412.07743,0.05%,"adduct of gmp with NO radical(add H3O+), with the error of 0.0016. "
221.170596,0.13%,"adduct of guanine with CH3O radical(add K+), with the error of 0.0046. decarboxylation C-N coupling product of glycine and arginine(add NH4+); decarboxylation C-N coupling product of arginine and glycine(add NH4+); decarboxylation coupling (RCOOR') product of glycine and arginine(add NH4+), with the error of 0.0024."
204.056205,0.07%,"adduct of guanine with Cl radical(add NH4+), with the error of 0.0032. adduct of uric acid with OH radical(add H3O+), with the error of 0.0022."
181.050119,0.14%,"adduct of guanine with NO radical(self); decarboxylation coupling (RCOOR') product of 4-pentenoic acid and malonic acid(add Na+), with the error of 0.0031. decarboxylation coupling (R-R') product of alpha-ketobutyric acid and alpha-ketoglutaric acid(add Na+); decarboxylation C-N coupling product of fumaric acid and cytosine(self); decarboxylation coupling (RCOOR') product of alpha-ketobutyric acid and alpha-ketobutyric acid(add Na+), with the error of 0.0021."
186.091837,7.41%,"adduct of guanine with OH radical(add NH4+), with the error of 0.0048. adduct of histidine with CH3O radical(self), with the error of 0.0038.decarboxylation coupling (R-R') product of pyruvic acid and phenylalanine(add Na+), with the error of 0.0028.decarboxylation C-N coupling product of alpha-ketobutyric acid and cytosine(add H3O+), with the error of 0.0002.decarboxylation coupling (R-R') product of cysteine and histidine(self), with the error of 0.0012.decarboxylation C-N coupling product of cysteine and histamine(self); adduct of uracil with Cl radical(add K+), with the error of 0.0022."
337.214413,0.01%,"adduct of guanosine with CH3 radical(add K+), with the error of 0.0004. decarboxylation C-N coupling product of 6-hydroxyoctanoic acid and tryptophan(add H3O+); decarboxylation coupling (RCOOR') product of 6-hydroxyoctanoic acid and tryptophan(add H3O+), with the error of 0.0026."
321.106322,0.56%,"adduct of guanosine with CH3 radical(add Na+), with the error of 0.0003. reductive amination product of tryptophan and oxaloacetic acid(add H+), with the error of 0.0027.decarboxylation C-N coupling product of glutathione and urea(self), with the error of 0.0037."
353.210064,0.14%,"adduct of guanosine with CH3O radical(add K+), with the error of 0.0011. "
319.071712,0.01%,"adduct of guanosine with Cl radical(add H+), with the error of 0.0027. "
323.089637,0.01%,"adduct of guanosine with OH radical(add Na+), with the error of 0.0046. "
318.133856,0.01%,"adduct of guanosine with OH radical(add NH4+), with the error of 0.0039. decarboxylation C-N coupling product of alpha-ketobutyric acid and cytidine(add H3O+), with the error of 0.0011.adduct of uridine with Cl radical(add K+), with the error of 0.0031."
300.093632,0.01%,"adduct of guanosine with OH radical(self), with the error of 0.0014. "
127.112134,0.08%,"adduct of histamine with CH3 radical(add H+), with the error of 0.0001. decarboxylation coupling (R-R') product of glyoxylic acid and malonic acid(add K+), with the error of 0.0009.pyruvic acid(add K+); decarboxylation product of oxaloacetic acid(add K+), with the error of 0.0019."
143.107135,0.11%,"adduct of histamine with CH3O radical(add H+); 6-hydroxyoctanoic acid de-OH product(self), with the error of 0.0001. malonic acid(add K+), with the error of 0.0019."
171.102437,0.00%,"adduct of histidine with CH3 radical(add H+), with the error of 0.0014. decarboxylation coupling (RCOOR') product of glyoxylic acid and malonic acid(add K+), with the error of 0.0006.fumaric acid add 1 oxygen(add K+); oxaloacetic acid(add K+), with the error of 0.0016."
170.097245,0.00%,"adduct of histidine with CH3 radical(self); decarboxylation C-N coupling product of malonic acid and histamine(add H+), with the error of 0.0042. decarboxylation coupling (R-R') product of 4-aminobenzoic acid and 4-pentenoic acid(add Na+), with the error of 0.0032.decarboxylation C-N coupling product of 4-aminobenzoic acid and urea(add H3O+), with the error of 0.0002."
204.121688,1.79%,"adduct of histidine with CH3O radical(add NH4+), with the error of 0.0013. reductive amination product of valine and alpha-ketobutyric acid(add H+); reductive amination product of leucine and pyruvic acid(add H+), with the error of 0.0023.decarboxylation coupling (R-R') product of 3-hydroxypropionic acid and tryptophan(self), with the error of 0.0043."
204.125431,0.09%,"adduct of histidine with CH3O radical(add NH4+), with the error of 0.0024. reductive amination product of valine and alpha-ketobutyric acid(add H+); reductive amination product of leucine and pyruvic acid(add H+), with the error of 0.0014.decarboxylation coupling (R-R') product of 3-hydroxypropionic acid and tryptophan(self), with the error of 0.0006.decarboxylation coupling (RCOOR') product of 4-pentenoic acid and hydroxyproline(add H3O+), with the error of 0.0016.decarboxylation coupling (R-R') product of cysteine and histidine(add NH4+), with the error of 0.0026.decarboxylation C-N coupling product of cysteine and histamine(add NH4+); decarboxylation coupling (R-R') product of leucine and n-acetyl cysteine(self), with the error of 0.0036."
204.127926,0.05%,"adduct of histidine with CH3O radical(add NH4+), with the error of 0.0049. reductive amination product of valine and alpha-ketobutyric acid(add H+); reductive amination product of leucine and pyruvic acid(add H+), with the error of 0.0039.decarboxylation coupling (R-R') product of 3-hydroxypropionic acid and tryptophan(self), with the error of 0.0019.decarboxylation coupling (RCOOR') product of 4-pentenoic acid and hydroxyproline(add H3O+), with the error of 0.0009.decarboxylation coupling (R-R') product of cysteine and histidine(add NH4+), with the error of 0.0001.decarboxylation C-N coupling product of cysteine and histamine(add NH4+); decarboxylation coupling (R-R') product of leucine and n-acetyl cysteine(self), with the error of 0.0011."
185.069262,0.17%,"adduct of histidine with NO radical(self); adduct of hydroxyproline with CH3O radical(add Na+), with the error of 0.0023. decarboxylation coupling (RCOOR') product of fumaric acid and proline(self), with the error of 0.0013.dopamine add 2 oxygens(self), with the error of 0.0003.decarboxylation coupling (R-R') product of cysteine and hydroxyproline(add Na+), with the error of 0.0027."
211.169561,0.01%,"adduct of histidine with OH radical(add K+), with the error of 0.0004. "
189.016791,0.24%,"adduct of hydroxyproline with Cl radical(add Na+), with the error of 0.0002. "
171.053617,0.07%,"adduct of hydroxyproline with OH radical(add Na+), with the error of 0.0026. decarboxylation C-N coupling product of glycine and o-phosphorylethanolamine(add H+), with the error of 0.0006.decarboxylation coupling (R-R') product of glycine and n-acetyl cysteine(add Na+), with the error of 0.0024."
174.055593,0.01%,"adduct of hypoxanthine with CH3 radical(add Na+); decarboxylation coupling (R-R') product of 4-aminobenzoic acid and malonic acid(add Na+); decarboxylation coupling (R-R') product of itaconic acid and malic acid(self); decarboxylation coupling (RCOOR') product of 3-hydroxypropionic acid and itaconic acid(self), with the error of 0.0026. "
286.096917,0.01%,"adduct of inosine with OH radical(add H+), with the error of 0.0049. guanosine de-NH2 product(add H3O+), with the error of 0.0009.decarboxylation C-N coupling product of oxaloacetic acid and tyrosine(add H3O+); decarboxylation coupling (RCOOR') product of oxaloacetic acid and tyrosine(add H3O+), with the error of 0.0001.reductive amination product of 4-aminobenzoic acid and alpha-ketoglutaric acid(add H3O+), with the error of 0.0011."
210.061381,0.03%,"adduct of inositol with NO radical(self); adduct of glucose with NO radical(self); adduct of galactose with NO radical(self), with the error of 0.0004. ascorbic acid add 1 oxygen(add NH4+); decarboxylation coupling (RCOOR') product of malic acid and malonic acid(add NH4+); decarboxylation C-N coupling product of malonic acid and guanine(add H+), with the error of 0.0006.reductive amination product of glycine and oxaloacetic acid(add H3O+); decarboxylation C-N coupling product of oxaloacetic acid and serine(add H3O+); decarboxylation coupling (RCOOR') product of oxaloacetic acid and serine(add H3O+), with the error of 0.0046."
220.060362,0.03%,"adduct of inositol with OH radical(add Na+); adduct of glucose with OH radical(add Na+); adduct of galactose with OH radical(add Na+), with the error of 0.0044. tyrosine add 1 oxygen(add Na+), with the error of 0.0014.decarboxylation coupling (R-R') product of alpha-ketoglutaric acid and n-acetyl cysteine(add H+); decarboxylation coupling (RCOOR') product of alpha-ketobutyric acid and n-acetyl cysteine(add H+); decarboxylation C-N coupling product of fumaric acid and methionine(add H+); decarboxylation coupling (RCOOR') product of fumaric acid and methionine(add H+), with the error of 0.0036."
164.997984,0.12%,"adduct of itaconic acid with Cl radical(self), with the error of 0.002. "
170.021822,0.08%,"adduct of itaconic acid with OH radical(add Na+); adduct of fumaric acid with CH3O radical(add Na+); adduct of oxaloacetic acid with CH3 radical(add Na+), with the error of 0.0018. decarboxylation C-N coupling product of glyoxylic acid and o-phosphorylethanolamine(add H+), with the error of 0.0008.adduct of adenine with Cl radical(self), with the error of 0.0012.decarboxylation coupling (R-R') product of glyoxylic acid and n-acetyl cysteine(add Na+), with the error of 0.0022.decarboxylation coupling (R-R') product of cysteine and fumaric acid(add Na+), with the error of 0.0032."
184.12134,0.10%,"adduct of lysine with CH3 radical(add Na+); decarboxylation coupling (RCOOR') product of proline and proline(self), with the error of 0.0013. "
204.069923,0.01%,"adduct of lysine with Cl radical(add Na+), with the error of 0.0049. decarboxylation C-N coupling product of 3-hydroxypropionic acid and o-phosphorylethanolamine(add H3O+), with the error of 0.0019.decarboxylation coupling (R-R') product of itaconic acid and n-acetyl cysteine(add H+), with the error of 0.0009.reductive amination product of asparagine and pyruvic acid(self); decarboxylation coupling (R-R') product of fumaric acid and histidine(add Na+); decarboxylation C-N coupling product of malonic acid and glutamine(self); decarboxylation coupling (RCOOR') product of glutamine and malonic acid(self), with the error of 0.0041."
164.119758,0.07%,"adduct of lysine with OH radical(add H+); adduct of ornithine with CH3O radical(add H+); adduct of proline with CH3O radical(add NH4+); adduct of hydroxyproline with CH3 radical(add NH4+), with the error of 0.0028. decarboxylation coupling (R-R') product of ornithine and cysteine(add H+); decarboxylation coupling (R-R') product of cysteine and proline(add NH4+), with the error of 0.0022."
150.058676,10.02%,"adduct of malic acid with CH3 radical(add H+), with the error of 0.0047. adduct of fumaric acid with CH3 radical(add H3O+), with the error of 0.0007.methionine(add H+), with the error of 0.0003."
166.053869,0.62%,"adduct of malic acid with CH3O radical(add H+), with the error of 0.0049. decarboxylation coupling (RCOOR') product of 4-aminobenzoic acid and glyoxylic acid(add H+); decarboxylation C-N coupling product of glyoxylic acid and 4-aminobenzoic acid(add H+), with the error of 0.0039.adduct of fumaric acid with CH3O radical(add H3O+); adduct of itaconic acid with OH radical(add H3O+); adduct of oxaloacetic acid with CH3 radical(add H3O+), with the error of 0.0009.decarboxylation coupling (RCOOR') product of 3-hydroxypropionic acid and cysteine(add H+); decarboxylation C-N coupling product of 3-hydroxypropionic acid and cysteine(add H+); adduct of methionine with OH radical(self); decarboxylation coupling (R-R') product of cysteine and malic acid(add H+), with the error of 0.0001.decarboxylation coupling (R-R') product of glyoxylic acid and n-acetyl cysteine(add H3O+), with the error of 0.0031.decarboxylation coupling (R-R') product of cysteine and fumaric acid(add H3O+), with the error of 0.0041."
